JD,JDTo,日付,降水量,最大1時間降水量降水量降水量,最大10分間降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,最大風速風向,最大瞬間風速,最大瞬間風速風向,日照時間,天気概況昼,天気概況夜,天気概況昼概要,天気概況昼1,天気概況昼2,天気概況昼3
2457174.5,2457175.5,2015-06-01,--,--,--,24.5,31.2,16.9,49,17,2,4.7,南,7.5,南南西,9.9,晴後薄曇,曇,晴後曇,晴,後,曇
2457175.5,2457176.5,2015-06-02,0,0,0,25.5,30.9,21.1,61,40,2.7,5.1,南南西,8.7,南,4.2,曇一時晴,曇後雨,曇時々晴,曇,時,晴
2457176.5,2457177.5,2015-06-03,40.5,14,4,21.7,24.1,17.4,79,56,2.1,4.3,南南西,7.6,北,0,雨時々曇,晴,雨時々曇,雨,時,曇
2457177.5,2457178.5,2015-06-04,--,--,--,20.1,26.5,14.9,53,26,3.1,7.8,北,15.4,北,12.6,晴一時薄曇,晴時々曇,晴時々曇,晴,時,曇
2457178.5,2457179.5,2015-06-05,24,5,2,16.3,19.6,14.5,70,48,1.9,5,東北東,8.8,東北東,0,曇後雨,雨後曇,曇後雨,曇,後,雨
2457179.5,2457180.5,2015-06-06,0.5,2,0.5,18.5,23.7,14.4,67,46,2.5,5.7,北北西,10.2,北北西,5.5,曇後晴,晴後一時曇,曇後晴,曇,後,晴
2457180.5,2457181.5,2015-06-07,--,--,--,20.8,26.2,14.8,65,46,2.4,4.5,東,8.7,東,4.9,曇,曇,曇,曇,,
2457181.5,2457182.5,2015-06-08,12,3,1,20.7,24.3,18.2,73,59,3,5.4,東北東,10.2,東,0.1,曇後雨,大雨,曇後雨,曇,後,雨
2457182.5,2457183.5,2015-06-09,26.5,8.5,2,20.8,24.1,18.4,83,67,1.5,3.5,西北西,5.7,西,0,曇一時雨,曇一時晴,曇時々雨,曇,時,雨
2457183.5,2457184.5,2015-06-10,--,--,--,23.4,30.3,16.9,59,31,1.7,3.9,北西,6.1,西,10.6,薄曇,曇一時晴,曇,曇,,
2457184.5,2457185.5,2015-06-11,6.5,3,1.5,21.6,25.5,19.5,71,54,2.1,5.2,東北東,7.8,東北東,0,曇後雨,雨,曇後雨,曇,後,雨
2457185.5,2457186.5,2015-06-12,6,1.5,1,24.1,30.8,19.7,75,48,1.9,5.7,南南西,8.9,南南西,4.7,曇一時雨後晴,曇時々晴,曇時々雨,曇,時,雨
2457186.5,2457187.5,2015-06-13,--,--,--,25.5,32.9,18.8,53,27,1.9,5.1,南南西,8.9,南南西,7.5,晴後曇,曇,晴後曇,晴,後,曇
2457187.5,2457188.5,2015-06-14,0,0,0,24.6,28.3,21.8,62,48,1.8,4,南,6.8,南南東,1.2,曇,曇,曇,曇,,
2457188.5,2457189.5,2015-06-15,--,--,--,25.6,30.6,20.7,62,43,1.8,4,南南西,6.5,南西,7.1,薄曇,曇,曇,曇,,
2457189.5,2457190.5,2015-06-16,2.5,2.5,2.5,23.7,27,21.3,71,61,1.4,4.9,南,8.7,南,0.6,曇時々雨,晴一時雨後一時曇,曇時々雨,曇,時,雨
2457190.5,2457191.5,2015-06-17,0,0,0,24.7,31.1,19.8,64,39,1.9,5.2,南南東,9.3,南東,6.7,曇後一時雨,曇後雨,曇,曇,,
2457191.5,2457192.5,2015-06-18,3,1,0.5,21.8,24.2,19.7,72,60,3.5,6.4,東,11.8,東,0,雨後時々曇,雨,雨,雨,,
2457192.5,2457193.5,2015-06-19,12,3.5,1,20.3,23,18.1,80,65,1.8,4.3,北東,8.4,東,0,雨後時々曇,曇一時晴,雨,雨,,
2457193.5,2457194.5,2015-06-20,0,0,0,23.2,27.4,19.8,70,52,1.6,3.5,東北東,5.8,南南西,3.4,曇,曇後大雨、雷を伴う,曇,曇,,
2457194.5,2457195.5,2015-06-21,65,29,11,22.5,29.5,18.8,78,45,2.1,6.3,北北東,9.5,北北東,4.9,曇時々雨、雷を伴う,曇一時雨後一時晴,曇時々雨,曇,時,雨
2457195.5,2457196.5,2015-06-22,0,0,0,23.6,27.7,18.6,70,52,1.6,4.1,南南西,6.2,南,3.5,曇,曇後一時晴,曇,曇,,
2457196.5,2457197.5,2015-06-23,0,0,0,25,30.7,21.5,66,42,2,5.9,北北東,11.1,北北東,7.2,晴時々曇,晴時々曇一時雨,晴時々曇,晴,時,曇
2457197.5,2457198.5,2015-06-24,0,0,0,25.7,31.9,20.4,64,38,2.1,4.3,南 ,7.5,南 ,4.9,曇,曇,曇,曇,,
2457198.5,2457199.5,2015-06-25,--,--,--,26.2,31,22.9,60,44,3.3,5.7,東,9.8,東北東,6,曇一時晴,曇後一時雨,曇時々晴,曇,時,晴
2457199.5,2457200.5,2015-06-26,49.5,7,2,22.2,24.2,21.4,85,67,1.8,3.6,東北東,6.4,東北東,0,大雨,雨後曇,雨,雨,,
2457200.5,2457201.5,2015-06-27,0,0,0,22.9,25.9,20.2,74,57,2.3,6.5,西北西,11.1,北西,0.5,曇,曇後時々雨,曇,曇,,
2457201.5,2457202.5,2015-06-28,0,0,0,20.9,25.3,18.9,68,48,3,6.6,北,10.5,北,6,曇後時々晴,晴一時曇,曇,曇,,
2457202.5,2457203.5,2015-06-29,0,0,0,23.5,29.1,18.7,60,44,2.3,5.3,東,8.1,東,7,曇時々晴,曇一時晴,曇時々晴,曇,時,晴
2457203.5,2457204.5,2015-06-30,15,4,1,22.9,27.3,19.8,73,53,2,4.9,東北東,7.7,東南東,0.6,曇後時々雨,雨,曇,曇,,
2457204.5,2457205.5,2015-07-01,33.5,9,4.5,22.7,27.1,19.4,85,70,1.7,5.4,南南西,9.4,南南西,0,雨時々曇,曇,雨時々曇,雨,時,曇
2457205.5,2457206.5,2015-07-02,--,--,--,25.2,31,21.2,67,44,2.2,5.4,南南西,9.4,南西,4.6,曇,曇後時々雨,曇,曇,,
2457206.5,2457207.5,2015-07-03,1,1,0.5,25.4,30.4,21.8,67,43,1.6,3.1,東北東,5.3,南南西,3.2,曇,曇,曇,曇,,
2457207.5,2457208.5,2015-07-04,12.5,3,1,22.7,24.5,20.6,80,69,1.6,4.1,南,6.3,南,0,雨時々曇,雨後時々曇,雨時々曇,雨,時,曇
2457208.5,2457209.5,2015-07-05,0,0.5,0,22.8,26.6,19.9,72,54,1.5,3.5,北東,5.1,北東,0.3,曇,曇後時々雨,曇,曇,,
2457209.5,2457210.5,2015-07-06,1,0.5,0.5,22.7,24.5,20.7,75,65,1.5,3,南東,4.6,東南東,0,曇時々雨,曇,曇時々雨,曇,時,雨
2457210.5,2457211.5,2015-07-07,13,4.5,1,22.7,24.3,21.1,84,74,1.5,3.2,東北東,6.1,東北東,0,雨後一時曇,曇後時々雨,雨,雨,,
2457211.5,2457212.5,2015-07-08,2.5,2,1,24.9,28.6,21.9,80,65,1.9,3.8,東北東,6.9,東北東,0,雨時々曇,雨時々曇,雨時々曇,雨,時,曇
2457212.5,2457213.5,2015-07-09,2.5,0.5,0.5,26.4,30.6,23.4,80,60,1.4,4,東北東,5.8,東北東,0.5,曇時々雨,曇,曇時々雨,曇,時,雨
2457213.5,2457214.5,2015-07-10,0,0,0,28.4,33.6,24.4,68,48,2.2,5.4,南,9.1,南南東,6.8,晴時々曇,曇,晴時々曇,晴,時,曇
2457214.5,2457215.5,2015-07-11,0,0,0,28.6,33.7,25.6,69,50,1.9,4.8,南南東,6.8,南,2.3,曇,曇後一時晴,曇,曇,,
2457215.5,2457216.5,2015-07-12,--,--,--,29.4,34.8,24.4,64,42,2.1,4.7,南,8.4,南,6,曇,曇後一時晴,曇,曇,,
2457216.5,2457217.5,2015-07-13,0,0,0,30.6,35.3,26.7,60,42,4,7.9,南南西,15.4,南南西,5.3,曇後一時晴,晴一時薄曇,曇,曇,,
2457217.5,2457218.5,2015-07-14,--,--,--,30.8,36.5,26.3,56,34,2.8,5.7,南南西,10.2,南南東,12.7,晴,晴,晴,晴,,
2457218.5,2457219.5,2015-07-15,0,0,0,29.8,35.1,26.5,59,39,3.6,6,東北東,10.7,東,9.5,晴後一時薄曇,曇後雨,晴,晴,,
2457219.5,2457220.5,2015-07-16,9.5,5.5,1.5,27.4,29.7,24.4,73,64,5.7,9.4,東北東,18.5,東北東,1.2,曇時々雨,雨時々曇,曇時々雨,曇,時,雨
2457220.5,2457221.5,2015-07-17,183.5,25.5,5.5,25.2,28.1,22.9,85,63,4.5,9.6,東,20.1,東北東,0,大雨,大雨,雨,雨,,
2457221.5,2457222.5,2015-07-18,78,21,4.5,25,30.4,21.4,81,59,1.8,4.7,南南西,7.6,南南東,2.9,曇一時雨,晴後時々曇,曇時々雨,曇,時,雨
2457222.5,2457223.5,2015-07-19,1,1,0.5,27.7,32.7,23.8,72,54,2.1,5.8,南南西,9.8,南南西,1.8,曇一時雨,晴時々曇,曇時々雨,曇,時,雨
2457223.5,2457224.5,2015-07-20,--,--,--,29.5,35.7,24.9,60,39,2.5,5.9,南西,10.6,南西,10,晴,晴,晴,晴,,
2457224.5,2457225.5,2015-07-21,--,--,--,29,33.8,24.6,61,46,2.5,5.4,南西,9.4,南,6.2,晴後時々曇,曇後一時雨,晴,晴,,
2457225.5,2457226.5,2015-07-22,37.5,23,12,26,28.2,24.5,83,60,2.2,4.9,南,8.4,南南西,0,大雨,雨時々曇,雨,雨,,
2457226.5,2457227.5,2015-07-23,26.5,9,2.5,25.2,27,23.5,85,71,2.1,6,南南西,9.7,南南西,0.2,雨後曇,曇,雨後曇,雨,後,曇
2457227.5,2457228.5,2015-07-24,--,--,--,28.4,35.3,23.8,65,40,2,5.5,南南西,9.3,南南西,7.2,曇後一時晴,薄曇一時晴,曇,曇,,
2457228.5,2457229.5,2015-07-25,--,--,--,29.2,34.4,24.5,62,45,2.5,5.9,南南西,10.8,南,11.2,晴後薄曇,薄曇時々晴,晴後曇,晴,後,曇
2457229.5,2457230.5,2015-07-26,--,--,--,30.5,35.9,26.1,57,36,2.7,5.6,南南西,9.8,南南西,12.4,晴時々薄曇,晴一時薄曇,晴時々曇,晴,時,曇
2457230.5,2457231.5,2015-07-27,0,0,0,29.7,35.8,26.7,65,43,2.4,5.6,南南西,9.4,南南西,3.5,曇一時晴後一時雨,曇一時雨後時々晴,曇時々晴,曇,時,晴
2457231.5,2457232.5,2015-07-28,7,4.5,3.5,28,33.5,25.7,76,52,1.7,4.2,南南西,7,南南西,2.2,曇一時晴後時々雨,曇一時雨,曇時々晴,曇,時,晴
2457232.5,2457233.5,2015-07-29,7,7,5,29.1,35.9,25.9,73,42,1.7,4.8,北北東,8.5,北西,5.2,晴一時曇後一時雨、雷を伴う,曇後一時晴、雷を伴う,晴時々曇,晴,時,曇
2457233.5,2457234.5,2015-07-30,0.5,0.5,0.5,29.7,34.4,26.1,71,51,1.8,4.5,北北西,7.3,北北西,4.5,曇時々晴一時雨,晴,曇時々晴,曇,時,晴
2457234.5,2457235.5,2015-07-31,--,--,--,30.7,36.5,25.7,65,43,1.9,4.1,南南西,9.1,南,9,晴,快晴,晴,晴,,
2457235.5,2457236.5,2015-08-01,--,--,--,32.2,38.5,26.3,60,38,1.8,3.9,南南西,7.8,南南西,12.2,晴,晴,晴,晴,,
2457236.5,2457237.5,2015-08-02,--,--,--,32.6,39.1,27.4,58,29,1.9,3.8,西北西,6.9,南南西,11.9,晴,曇時々晴,晴,晴,,
2457237.5,2457238.5,2015-08-03,1,1,1,31.1,37.9,27.5,62,39,2.1,6.9,北東,11.8,北北東,8.9,晴後一時雨、雷を伴う,薄曇後晴,晴,晴,,
2457238.5,2457239.5,2015-08-04,0,0,0,31.8,37.3,26.6,60,38,2,4.8,南東,7.1,東南東,9.6,晴,曇時々晴一時雨、雷を伴う,晴,晴,,
2457239.5,2457240.5,2015-08-05,--,0,--,31.6,37.2,27.3,58,38,2.8,4.8,東北東,8.1,北東,11.6,晴後一時薄曇,曇時々晴,晴,晴,,
2457240.5,2457241.5,2015-08-06,--,--,--,30.9,35.1,28.6,65,50,2.6,4.8,東北東,7.8,北東,3.1,曇一時晴,曇,曇時々晴,曇,時,晴
2457241.5,2457242.5,2015-08-07,14,14,10.5,31.1,36.7,27.6,62,44,1.7,7,西,14.3,西北西,6.1,曇後一時雨、雷を伴う,薄曇後時々晴、雷を伴う,曇,曇,,
2457242.5,2457243.5,2015-08-08,0,0,0,30.2,38.1,26.2,65,35,1.6,5.7,北,8.9,北,9.3,晴後一時雨、雷を伴う,晴,晴,晴,,
2457243.5,2457244.5,2015-08-09,--,--,--,30.7,36.8,25.5,60,36,1.8,5,東北東,7.8,東北東,9.1,晴一時薄曇,晴後時々薄曇,晴時々曇,晴,時,曇
2457244.5,2457245.5,2015-08-10,0,0,0,30.4,37.3,25.7,56,33,1.9,4.8,北北東,9,西,8.1,曇,晴後一時薄曇,曇,曇,,
2457245.5,2457246.5,2015-08-11,--,--,--,29.7,36.1,24.5,54,34,2.3,4.8,北北西,8.6,西南西,9.3,曇,曇,曇,曇,,
2457246.5,2457247.5,2015-08-12,0,0,0,29,33.8,25.1,60,45,1.8,4.7,南西,8.1,南南西,2,曇,雨時々曇,曇,曇,,
2457247.5,2457248.5,2015-08-13,27.5,17.5,6.5,27.1,32.1,23.5,78,59,1.9,3.8,南西,7.2,南,0.8,曇一時雨,曇後一時晴,曇時々雨,曇,時,雨
2457248.5,2457249.5,2015-08-14,0,0,0,28.5,33.8,25.7,63,40,2.1,4,東,8.6,北北東,6,曇時々晴,晴,曇時々晴,曇,時,晴
2457249.5,2457250.5,2015-08-15,0,0,0,28.7,35.2,23.5,58,34,1.8,4.3,東北東,6.7,北東,11.5,晴,晴,晴,晴,,
2457250.5,2457251.5,2015-08-16,2,1.5,0.5,27.4,32.8,23.6,64,47,1.8,4.9,南南東,11,南,2.8,曇後一時雨,大雨,曇,曇,,
2457251.5,2457252.5,2015-08-17,51.5,23,9,25.6,31.2,23.1,84,63,1.7,7.3,北西,15.1,北北西,0.4,曇時々雨,晴一時曇,曇時々雨,曇,時,雨
2457252.5,2457253.5,2015-08-18,0,0,0,27.1,33.2,21.9,68,46,1.6,3.8,北,6.2,北,7.8,晴後曇,曇,晴後曇,晴,後,曇
2457253.5,2457254.5,2015-08-19,2,1.5,0.5,26.5,29.6,24.2,71,57,1.8,4.1,南,6.4,南南東,0.7,曇,大雨,曇,曇,,
2457254.5,2457255.5,2015-08-20,59.5,27,8,25.6,28.6,23.7,86,70,1.3,2.8,南南西,4.4,南南西,0.2,雨時々曇,雨時々曇,雨時々曇,雨,時,曇
2457255.5,2457256.5,2015-08-21,8,6,3.5,27.2,33,23.5,77,55,1.6,4.5,南西,8,南南西,1.8,曇一時雨,曇後一時雨,曇時々雨,曇,時,雨
2457256.5,2457257.5,2015-08-22,0.5,0.5,0.5,28.3,32.6,25.6,67,48,2.4,5.3,北北西,9.2,北,5,曇一時雨後一時晴,晴,曇時々雨,曇,時,雨
2457257.5,2457258.5,2015-08-23,--,--,--,27.5,32.6,24.2,62,42,2.8,6.5,北,10,北北東,9.3,晴,快晴,晴,晴,,
2457258.5,2457259.5,2015-08-24,0,0,0,27.2,32.5,22.4,63,43,1.7,4,東北東,6.1,東北東,5.2,曇一時晴,曇後一時雨,曇時々晴,曇,時,晴
2457259.5,2457260.5,2015-08-25,29.5,11,4.5,24.8,26.7,22.3,77,65,3.6,7.8,東南東,15.8,東南東,0,雨時々曇,大雨,雨時々曇,雨,時,曇
2457260.5,2457261.5,2015-08-26,5.5,5.5,3.5,27,32.4,22.4,68,41,2.3,4.6,南,8.4,南南西,5.6,晴時々曇,曇後一時晴,晴時々曇,晴,時,曇
2457261.5,2457262.5,2015-08-27,--,0,--,27.3,33.6,23.6,59,36,2,4.2,北東,6.5,西北西,10.6,晴,晴,晴,晴,,
2457262.5,2457263.5,2015-08-28,5.5,5.5,5,26.5,33.7,22,67,40,1.9,5.2,東,8.8,東,5.6,晴後曇一時雨,曇時々雨,晴,晴,,
2457263.5,2457264.5,2015-08-29,25,19.5,12,25.9,29.6,23,78,56,1.7,4.5,南,8.9,南,0.9,曇時々雨、雷を伴う,雨時々曇,曇時々雨,曇,時,雨
2457264.5,2457265.5,2015-08-30,5,3.5,1,25,27.8,22.8,83,70,1.9,4.3,南南西,6.7,南南西,0.3,曇時々雨,曇後一時雨,曇時々雨,曇,時,雨
2457265.5,2457266.5,2015-08-31,5,3,1.5,23.9,25.4,23.1,84,79,1.4,3.5,北,6,北,0,雨,曇後雨,雨,雨,,
